N  chl  mld meanS  z   jd  sst  sstgrad  sstdt  windspeed  par  w  M  eke  current  Ro  PAR7day
113  -0.839574  -0.172275  -0.112053  -0.652424  1.063063  -0.052040  0.760277  0.243251  -1.071628  1.990093  -0.326238  0.880474  -0.098376  -0.395625  -0.203574  1.251509
114  -2.134569  -0.967108  -0.358339  -0.675807  1.430893  0.206368  0.267553  -0.981611  -1.366747  NaN  -0.177042  0.974610  0.041654  -0.297378  0.787191  NaN
115  -1.965711  0.876903  0.691920  -1.346117  0.006729  0.214319  -0.934833  -0.450837  -2.147769  -0.207897  -0.132092  1.145196  -0.796061  -0.742457  -0.672186  -0.433152
116  -0.984053  -0.680968  -1.312043  -0.907298  -1.351413  0.813298  -0.542838  0.529052  -1.852650  NaN  -0.068784  1.100756  -0.687566  -0.701153  0.079747  NaN
117  -1.085104  -0.299448  -1.140690  -0.607217  -1.266529  0.739088  -0.626318  -0.450837  -1.354823  2.154877  -0.048615  0.976621  -1.317608  -0.895261  0.454615  NaN
118  -0.872861  0.558970  0.080726  -0.671130  -0.361101  0.349487  -0.691861  0.161594  -0.230986  -0.082023  -0.084323  0.321494  -1.097769  -0.839044  -0.264346  -0.031430
119  0.030366  1.131250  0.307296  -0.584613  0.280244  0.140110  -0.325526  0.243251  -1.438291  0.104452  0.066128  0.971339  -1.511796  -0.936836  0.718743  -0.590950
120  0.132017  0.845110  0.477145  -0.802074  0.459444  0.130833  -0.376406  -0.083379  1.277401  0.409259  -0.679415  -1.601446  -1.763760  -0.981432  0.026427  -0.456173
121  -0.336415  1.131250  0.517864  -0.800516  0.544328  0.095054  -0.028036  0.365737  -0.120689  0.627570  -0.088424  0.208328  -1.548442  -0.943935  0.067301  -0.636444
122  -0.897034  0.225141  0.244617  -0.512905  0.912158  0.011568  -0.072604  -0.042550  -0.815262  1.659323  0.084061  0.731365  0.237211  -0.138876  -0.209830  -0.194228
123  -1.960612  -0.477491  -0.016482  -1.014080  -1.134488  1.257231  -0.490799  0.284080  -1.974871  NaN  0.016756  1.099909  0.886633  0.625901  -1.152986  -0.818693
124  -2.335567  -0.733427  0.065965  -1.104494  -1.040172  1.153867  0.098253  0.079936  -0.293587  1.889647  0.191015  0.257399  1.001463  0.811171  0.735768  -0.787649
125  -0.444721  0.352314  0.509630  -1.159833  0.355697  0.776193  0.501736  0.243251  -0.114727  0.700585  -0.859276  -0.012971  0.828022  0.538133  1.662898  -0.400735
126  -0.816198  -0.804962  0.121047  -1.030448  0.855569  0.904735  2.032542  -0.287522  -0.892768  1.767377  -0.127321  0.669967  1.178701  1.135418  0.516622  0.240542
127  -1.527438  -0.482260  -0.142522  -0.960299  1.544072  0.986895  -0.847324  -0.246694  0.269823  NaN  1.235829  -0.342680  0.747467  0.424471  0.763028  NaN
128  -1.516300  -0.741375  -0.589843  -0.724911  -0.879836  0.766917  -0.329156  -0.287522  -1.360785  1.260411  -0.166476  0.944645  -1.645709  -0.961732  -0.000305  1.364913
129  -0.247273  0.617788  0.487178  -0.721014  0.110476  0.128183  0.435689  -0.369180  1.113446  -0.106851  1.819918  -1.273259  -0.690996  -0.702518  -0.762502  -0.938086
130  -0.092938  1.582714  0.283381  -0.631379  0.610348  0.125533  -0.853930  1.059826  1.226724  0.845947  -0.792642  -1.622167  -2.095404  -1.027215  -0.282011  0.886215
